Event,X Fixation Data,Y Fixation Data,Timestamp,Valid Left Pupil,Valid Right Pupil,Left Pupil Size,Left Pupil Scale,Right Pupil Size,Right Pupil Scale,Valid Left Gaze,Valid Right Gaze,Left X Gaze,Left Y Gaze,Right X Gaze,Right Y Gaze,Valid Fixation
Data,445.8432,727.6392,00:01:15:0670,1,1,30.16453,0.96717,29.38875,0.96717,1,1,0.18883,0.85826,0.25619,0.52439,1
Data,446.016,728.7624000000001,00:01:15:0677,1,1,30.26153,0.95852,29.42708,0.95852,1,1,0.19943,0.84549,0.26789,0.53507,1
Data,448.3392,732.1644,00:01:15:0684,1,1,29.95763,0.94093,29.41224,0.93200,1,1,0.21485,0.86424,0.28366,0.55442,1
Data,451.6992,731.4516000000001,00:01:15:0691,1,1,30.05147,0.93200,29.48508,0.92308,1,1,0.24062,0.76052,0.29281,0.57020,1
Data,454.656,730.8575999999999,00:01:15:0698,1,1,30.08642,0.92308,29.44538,0.93349,1,1,0.24220,0.76703,0.28998,0.56583,1
Data,454.656,730.8575999999999,00:01:15:0705,1,1,30.08642,0.92308,29.44538,0.93349,1,1,0.24220,0.76703,0.28998,0.56583,1
Data,455.4816,733.6548,00:01:15:0712,1,1,29.91976,0.95284,29.28926,0.97218,1,1,0.21281,0.84671,0.25912,0.55476,1
Data,454.9248,734.076,00:01:15:0719,1,1,29.94391,0.98084,29.44541,0.98977,1,1,0.20715,0.82920,0.25400,0.54728,1
Data,454.9248,734.076,00:01:15:0726,1,1,29.94391,0.98084,29.44541,0.98977,1,1,0.20715,0.82920,0.25400,0.54728,1
Data,453.79200000000003,731.4624,00:01:15:0733,1,1,30.09480,0.99666,29.51500,0.98624,1,1,0.22654,0.74049,0.23281,0.55802,1
Data,453.5808,730.62,00:01:15:0740,1,1,30.05945,0.98624,29.41736,0.96689,1,1,0.22836,0.74798,0.23886,0.56614,1
Data,454.13759999999996,730.674,00:01:15:0747,1,1,30.02657,0.95824,29.31264,0.94931,1,1,0.22191,0.77588,0.26613,0.57962,1
Data,454.9824,730.9548,00:01:15:0754,1,1,29.98805,0.94066,29.28929,0.93173,1,1,0.22656,0.78309,0.27086,0.58444,1
Data,456.0384,731.5704,00:01:15:0761,1,1,30.03562,0.92308,29.35072,0.91415,1,1,0.22990,0.79543,0.27599,0.59151,1
Data,457.1904,732.7908,00:01:15:0768,1,1,30.20165,0.91415,29.27918,0.91415,1,1,0.22324,0.82035,0.28793,0.60205,1
Data,458.592,733.0068,00:01:15:0775,1,1,29.95162,0.91415,29.41743,0.91415,1,1,0.22014,0.82687,0.30124,0.54259,1
Data,459.7824,733.0392,00:01:15:0782,1,1,29.92247,0.92280,29.41994,0.92280,1,1,0.21837,0.82107,0.29895,0.53865,1
Data,460.8192,733.0608000000001,00:01:15:0789,1,1,29.95883,0.93145,29.36134,0.93145,1,1,0.22114,0.80972,0.29346,0.54862,1
Data,462.2592,732.8232,00:01:15:0796,1,1,29.96548,0.94011,29.27094,0.94011,1,1,0.23104,0.80427,0.29993,0.53827,1
Data,464.736,731.4731999999999,00:01:15:0803,1,1,30.05280,0.95080,29.38263,0.97015,1,1,0.23584,0.80208,0.29459,0.48879,1
Data,464.736,731.4731999999999,00:01:15:0810,1,1,30.05280,0.95080,29.38263,0.97015,1,1,0.23584,0.80208,0.29459,0.48879,1
Data,464.2752,730.5876000000001,00:01:15:0817,1,1,30.05944,0.96149,29.26229,0.98084,1,1,0.20041,0.81539,0.26596,0.47821,1
Data,463.0848,729.0971999999999,00:01:15:0824,1,1,29.94270,0.98111,29.39734,0.97070,1,1,0.20719,0.81096,0.24766,0.50125,1
Data,462.7392,728.7515999999999,00:01:15:0831,1,1,29.97076,0.97070,29.38424,0.96028,1,1,0.21024,0.82353,0.25719,0.50060,1
Data,462.5088,728.568,00:01:15:0838,1,1,29.97932,0.96028,29.35772,0.94986,1,1,0.21233,0.83019,0.26027,0.50574,1
Data,462.5088,728.568,00:01:15:0845,1,1,29.97932,0.96028,29.35772,0.94986,1,1,0.21233,0.83019,0.26027,0.50574,1
Data,462.0288,729.0215999999999,00:01:15:0852,1,1,29.95849,0.94986,29.38099,0.94986,1,1,0.19551,0.83662,0.26468,0.54782,1
Data,461.85600000000005,730.0260000000001,00:01:15:0859,1,1,29.83479,0.94986,29.40076,0.94093,1,1,0.20255,0.83156,0.27617,0.56117,1
